id,org,dept,name,description,Economy,economy_coded
652,Duluth,Parks,Sports & Leagues,"Parks and Recreation coordinates at least 3 sport leagues annually and supplies reservation and scheduling support to more than 25 sports and league groups throughout the City. Field and sport court reservations (also revenue generators), Wade Stadium coordination with high schools, colleges, and minor league teams, including the Huskies.",4,1
654,Duluth,Library,Mt. Royal Lease,Lease and utility costs for operating Mt. Royal Branch,4,1
686,Flagstaff,01-015 General Administration City Attorney Division,Public Safety Legal Advice,Provide ongoing legal training to officers on legal issues and developments in the law,4,1
689,Flagstaff,01-015 General Administration City Attorney Division,Legal Advice Staff / Council,"Advise Mayor and City Councilmembers on matters with legal consequence. Advise city management and department/division staff on matters with legal consequence. Manage executive session agenda items; provide counsel to city council, management, staff and/or boards and commissions, as required. Provide training on legal-related issues to city officials and staff. External training at Continuing Legal Education (CLE) seminars/conferences.",4,1
694,Flagstaff,01-015 General Administration City Attorney Division,Ordinance and Policy Management,Assist departments in drafting new ordinances and administrative policies as well as revising and amending existing ordinances and policies.,4,1
700,Flagstaff,01-011 General Administration City Manager Division,Council Support and Preparation for Public Meetings,"Orchestrate all meetings, agendas and minutes of the governing body and provide research and support to members of the governing body",4,1
704,Flagstaff,01-011 General Administration City Manager Division,Indigenous Relations,"Outreach, engagement, planning, develop and implementation of strategic initiatives with the indigenous community and neighboring indigenous nations",4,1
712,Flagstaff,01-011 General Administration City Manager Division,Goal Setting and Strategic Planning,Establishes goals and priorities for the City including the participation of internal and external stakeholders. Implements strategic plan(s) to achieve goals and priorities,4,1
714,Flagstaff,01-011 General Administration City Manager Division,Council Meetings and Work Sessions,Preside and participate at meetings of the governing body,4,1
715,Flagstaff,01-011 General Administration City Manager Division,Intergovernmental Affairs,"Lobbying for the City's legislative agenda at the state and federal levels, representing the City in intergovernmental relationships at the state and federal level and informing City leadership and elected officials of policy initiatives that will impact the City. Working with County, State, Federal and other entities such as Mountain Line to ensure clear communication  and coordination of planning and capital improvements with the proper program and the Community Development Director.",4,1
717,Flagstaff,01-011 General Administration City Manager Division,"Policy Development, Review, and Enactment",Review and approve laws and ordinances,4,1
730,Flagstaff,05-Community Development,Traffic Systems Management,"Management of the Flagstaff transportation systems including the sidewalks, bike lanes, FUTS, roadways and traffic signals. Perform studies and analysis of these systems through various direct, remote and virtual methods.  Types of studies include speed, volume, crash history, pedestrian crossing, vehicle and pedestrian signal timing, traffic signal and stop sign warrant studies. Utilizing advanced traffic system to monitor traffic flows and outages to optimize travel time for all modes. Longer range operational goals are achieved through planning activities.  The program conducts multi-modal planning activities through the Active Transportation Master Plan, Travel Demand Management and specific bikeway and sidewalk plans. Respond to citizen inquiries regarding traffic flow and control.",4,1
733,Flagstaff,05-Community Development,Transportation Planning,"Connectivity, coordination with ADOT & FMPO and multi-modal planning",4,1
734,Flagstaff,05-Community Development,Engineering Design and Construction Standards Development,Manage the development of standard details and city specifications,4,1
741,Flagstaff,05-Community Development,Planning Discretionary Review,"Manage zoning map amendments, annexations, conditional use permits, development agreements, and subdivision plats. Perform regional plan analysis for discretionary review projects and dedications and abandonments.",4,1
744,Flagstaff,05-Community Development,Zoning and Subdivision Code Management,"This program is responsible for updating and maintaining the Zoning Code and Subdivision Code. Also, this program is responsible for interpreting the Zoning Code and Subdivision Code, Minor Modifications to the Development Standards, Zoning Verification Letters. In addition, the program coordinates Current Planning staff pertaining to the implementation of the Zoning Code and Subdivision Code. Furthermore, this program coordinates and participates with the Comprehensive Planning Staff pertaining to Regional Plan and Specific Plan updates that may influence an amendment to the Zoning Code or Subdivision Code.",4,1
747,Flagstaff,05-Community Development,Regional Plan Update and Management,"An update to the Regional Plan is required every 10 ten years which must be sent to the voters for ratification.  The Regional Plan is the General Plan for the City of Flagstaff.  The General Plan is a comprehensive long-range plan for the development of the City and includes statement of community goals and policies, maps, concept plans, and strategies.  It covers a wide variety of topics including housing, business, recreation, open space, natural resources, and public facilities.  Once a plan is approved annual reports are prepared on the statistical data that supports the Regional Plan. Prepare, process and coordinate amendments to the Regional Plan.",4,1
749,Flagstaff,05-Community Development,Census,"General coordination, response to data request, public outreach, and education, regarding the census.",4,1
751,Flagstaff,05-Community Development,Section 8 Client Management,"Assist applicants; participants; landlords via telephone, email and walk-ins, community outreach for housing",4,1
752,Flagstaff,05-Community Development,Section 8 Recertifications,"Schedule recertification annually, at initial move-in, unit transfers and in between annual recertification for HH changes.",4,1
753,Flagstaff,05-Community Development,Section 8 Inspections,"Schedule inspections of assisted units annually, at initial move-in, unit transfer and special inspections",4,1
754,Flagstaff,05-Community Development,Section 8 Voucher Issuance,"Brief applicants, participants, Landlord/Owners on program requirements.",4,1
755,Flagstaff,05-Community Development,Section 8: Application Process and Waiting List Management,"Maintain waitlist, applicant updates, approving eligibility, denial of assistance, maintain monthly and quarterly reports.",4,1
756,Flagstaff,05-Community Development,Public Housing: Application Process and Waiting List Management,"Acceptance of applications, updates, waiting list oversight and quality control, interviewing, eligibility determinations.",4,1
757,Flagstaff,05-Community Development,Public Housing Leasing Activities,"Prelease briefings, unit offers, move in and move outs, lease enforcement activities, outreach and oversight",4,1
758,Flagstaff,05-Community Development,Public Housing Inspections,"Performance of move in, move out, annual and special inspections and work order input; quality control",4,1
761,Flagstaff,05-Community Development,Public Housing: Residential Property Maintenance,Perform on-going and preventative maintenance for properties and capital programs.,4,1
763,Flagstaff,05-Community Development,Community Development Block Grant Management,"Subrecipient management, financial grant management and reporting. Community Homebuyer Assistance Program, Employer Assisted Housing Program, Fair Housing, Continuum of Care, Fire Preparedness Plan, and Flood Preparedness program/grant management.",4,1
764,Flagstaff,05-Community Development,Long-Term Housing Assistance Management,"Perform pay offs, subordinations, and document recording. Certificates of occupancy, and ground lease collection. Manage affordability plans, and compliance monitoring.",4,1
765,Flagstaff,05-Community Development,Affordable Housing Unit Creation,"Manage incentive policy and related zoning code. Manage requests for proposal, the Low-Income Housing Tax Credit Program, and the Rental Assistance Demonstration Program.",4,1
798,Flagstaff,07-Economic Vitality,Aircraft Rescue & Firefighting,Emergency services for aircraft and other emergencies on the airport,4,1
801,Flagstaff,07-Economic Vitality,Airfield Maintenance,Runway taxiway and apron repairs light and electronic maintenance,4,1
805,Flagstaff,07-Economic Vitality,Airport Airfield Snow and Ice Control,Snow and ice control on the runways taxiways ramps and aircraft rescue and fire fighter access,4,1
807,Flagstaff,07-Economic Vitality,Airport Long Range Planning,Ensure that the airport is planning to meet the Cities and the Federal Aviation Administration regulations and goals,4,1
810,Flagstaff,07-Economic Vitality,Public Relations and Airport Promotions,"Marketing and media relations, promoting to increase enplanements and public awareness",4,1
811,Flagstaff,07-Economic Vitality,Business Attraction,Promote prosperities to businesses seeking locations consultants and developers,4,1
812,Flagstaff,07-Economic Vitality,Business Retention and Expansion,Work on an ongoing basis with local businesses to help them grow and expand,4,1
814,Flagstaff,07-Economic Vitality,Incubation and Acceleration Business Support,Business support and services,4,1
816,Flagstaff,07-Economic Vitality,Community Investment Outreach,"Provide outreach, support, and relationship development with internal and external stakeholders to benefit the business and economic landscape of Flagstaff.",4,1
827,Flagstaff,07-Economic Vitality,Visitor Center Concierge service,Staff welcomes and provide valuable information on things to see and do in Flagstaff and the surrounding area. Serves over 100K walk-in guests per year. Improves the visitor experience and helps extend the average length of stay for visitors and motivates them to explore more flagstaff businesses while they are in Flagstaff. Increases visitor dollars and tax revenues for the City.,4,1
829,Flagstaff,07-Economic Vitality,Convention and Visitors Bureau Community Programming,"Staff plan and produce five community programs per year to engage the community in fun activities which often result in business for the businesses in downtown: Route 66 day, Snowflake Festival with Santa, Community Skating Rink, Chocolate Walk, Train Day.",4,1
831,Flagstaff,07-Economic Vitality,AMTRAK,"Staff work with AMTRAK to help provide exceptional customer service to our train passengers. Additionally, Visitor Services Staff are the liaison for the AMTRAK lease agreement.",4,1
833,Flagstaff,07-Economic Vitality,Domestic Markets,"Programming is budgeted, designed and executed to educate, inspire and motivate travel from the domestic market. These programs include serving digital ads, out-of-home advertising, print, website content creation and management, search engine optimization, search engine marketing, onsite activations (ballpark, collaborations with NAU), promotional videos, etc.",4,1
834,Flagstaff,07-Economic Vitality,International Markets,"Programming is budgeted, designed and executed to educate, inspire and motivate travel from the international markets. Key markets include: UK, Canada, Mexico, Germany, France, Australia, New Zealand, China and Japan.  Increasing awareness and visitation from these key markets. Work with travel trade and travel influencers to produce results for Flagstaff. Staff leverage dollars by working with Arizona Office of Tourism and Brand USA (National destination marketing organization).",4,1
835,Flagstaff,07-Economic Vitality,Media Relations,"Staff work to drive earned media that will positively effect the consumers' decision making where and when to travel. Earned media - blogs, newspaper, magazines, broadcast news, web, radio - all work to reach the masses with what is perceived to be an authentic source of travel information. Staff travels on media missions, to trade shows, hosts writers in-market and work with Arizona Office of Tourism to leverage this very important platform.",4,1
836,Flagstaff,07-Economic Vitality,Meeting and Conventions,"Brings conferences to the city and fill available meeting spaces. Enhances economic impact for industry partners and the city.  Travels on sales missions, to trade shows, host meeting planners in-market and meet with the hoteliers and conference center staff regularly to strategize on sales and marketing plans.",4,1
837,Flagstaff,07-Economic Vitality,Creative Services,"Creative Services Staff at the CVB produce ads - digital and print, presentations, out-of-home creative, web development, video, trade show materials, annual reports, collateral used for all kinds of sales and marketing purposes, etc. Also performs these functions for internal divisions. Coordinates advertising and the creative production internally.",4,1
838,Flagstaff,07-Economic Vitality,Social Media,"We are active on seven platforms, producing creative and interacting with over a 100K engaged fans of Flagstaff every day. This function serves as a way to communicate effectively with the traveling public; to give them wanted content in real-time and to show appreciation for their engagement with our brand - Flagstaff.",4,1
849,Flagstaff,01-012 General Administration Human Resources Division,Recruitment,"Provide a robust and effective recruitment process that positions the City of Flagstaff as an Employer of Choice and offers both the applicants and internal users an efficient and welcoming experience. Ensure the selection process results in the best candidate to achieve the Council's Key Community Priorities and Objectives.  Ensure the process is inclusive and supports our diversity initiatives.  

Manage and fill vacant positions, including temporary positions.  Administer general service contract for service providers such as pre-placement testing advertising and background screening.  Manage contract labor agreements to provide necessary supplemental staffing sources.  

Ensure that onboarding and new employee orientation create a positive impression of the City, exposing new employees to our culture and how we work as Team Flagstaff.  The process creates pride in being a member of Team Flagstaff and the responsibility that comes with it  Set expectations.  provide introduction to City information, and  introduce contacts and resources.",4,1
852,Flagstaff,01-012 General Administration Human Resources Division,Employee Development and Training,"Develop, implement, and coordinate training for all employees supporting mandatory compliance training as well as providing internal opportunities for employees to enhance their knowledge, skills and abilities.  Coordinate tuition assistance program as well as connect employees with learning and development opportunities offered in our community.   IIU courses offer employees the opportunity to network and foster peer relationships within the City and provides consistency, access and cost effectiveness to employee development throughout all divisions.",4,1
856,Flagstaff,01-012 General Administration Human Resources Division,Employee Relations,"Provide employee relations support to the organization that ensures due process, fosters an ""open door"" philosophy, and ensures a culture of safety and development over punishment.  Supports the employee dispute resolution and grievance processes to achieve successful outcomes.  Guides leaders in the corrective action process to utilize coaching and communication to guide employees back on track.  
Manage employee relations, including unemployment claims, disciplinary actions, employee dispute resolution, informal employee complaints & formal grievance processes. Conduct internal investigations and provide findings reports and recommendations, follow up with those involved.

Manage employee terminations, offboarding and exit interviews.",4,1
858,Flagstaff,01-012 General Administration Human Resources Division,Human Resources Compliance,"Monitor and ensure compliance with federal, state & local laws.  Provide a platform for a respectful, fair and safe place to work for all employees.  Minimize or reduce City exposure to liability and litigation.  Remain poised for successful audit outcomes.",4,1
861,Flagstaff,01-012 General Administration Human Resources Division,"Employment Policies, Procedures and Directives","Review, research and maintain accurate employment policies and directives that support the City of Flagstaff culture and adhere to regulatory and statutory requirements.  Ensure Information is concise, consistent and easy to interpret.  Policies, procedures and directives provide a consistent framework for setting expectations, answering questions and resolving issues for all City personnel.",4,1
862,Flagstaff,01-012 General Administration Human Resources Division,HR Technology Systems Management (HRIS),"Implement and manage new technology resources to move from manual to electronic processes.  Automate workflows, implement sustainable practices that reduce printing, demonstrate environment stewardship, increase efficiency and effectiveness, and provide improved customer experience, Implemented NeoGov Insight, OnBase implementation underway.",4,1
864,Flagstaff,02-Management Services,Financial Systems Management,"Management Services support of systems utilized by staff.  Including working with vendor support, system configuration, user set ups, upgrades, programming (XML, macros, data manipulation and analysis) and project support to name a few.",4,1
867,Flagstaff,02-Management Services,Pension Management,"Research, planning and policy updates for the City pension plans.  Includes management of newly established Contingency Reserve Fund policy created for Police and Fire plans.",4,1
