program_id,org,dept,name,description,Safety,safety_coded
123,"Boise, ID",Fire,Fire Investigation,"Determination of fire cause and origin, work with law enforcement and/or the legal system, where appropriate, to develop and obtain successful prosecution for crimes",4,1
124,"Boise, ID",Fire,Fire/Explosion,"Response to city and mutual or automatic aid emergencies for the NFIRS grouping called Fire/Explosion.  Fire/Explosion includes fires for: out on arrival, structure, wildland, vehicle, vegitation; also includes gas vapor explosion, false alarm, service & good intent call.   On call response support from Training and/or Prevention as needed.  Required M&O support (i.e. uniforms, supplies, etc.)",4,1
125,"Boise, ID",Fire,EMS/Rescue,"Response to local and regional emergencies for the NFIRS grouping called EMS/Rescue.  EMS/Rescue is medical assist, medical emergency, vehicle accident, electrical rescue, Basic Life Support (BLS), Advanced Life Support (ALS), Technical Rescue (extrication, high rise, trench, confined space), Dive (swiftwater, subsurface).  On call response support from Training and/or Prevention as needed.  Required M&O support (i.e. uniforms, supplies, etc.)",4,1
126,"Boise, ID",Fire,Hazardous Condition,"Response to local and regional emergencies for the NFIRS grouping called Hazardous Condition.  Hazardous Condition is combustible spills and leaks, chemical release/reaction, toxic condition, electrical issue, biological hazard, vehicle accidents that require hazmat, explosive, bomb, attempted burning.  On call response support from Training and/or Prevention as needed.  Required M&O support (i.e. uniforms, supplies, etc.)",4,1
128,"Boise, ID",Fire,Emergency Management - IMT,"1) Plan: Pre-planning for large and small scale events (i.e. 4th of July, Airshow, Xgames, BSU football games) for emergency preparedness in the event of an emergency; 2) Train: Develop training and scenarios for the Team, the city, and elected officials for emergency preparedness; participation of the Team (i.e. Airport plane crash) in tabletop and live scenarios; and 3) Activate: Activation and deployment of the Team for local and regional emergency events (i.e. Flood, Snow).",4,1
129,"Boise, ID",Fire,ARFF (Aircraft Rescue & Fire Fighting),"Specialty team staffing, response, and training for the Airport required by the FAA.  Involves the response, hazard mitigation, evacuation and possible rescue of passengers and crew of an aircraft involved in an airport emergency.  ARFF services are inspected annually by the FAA.",4,1
140,"Boise, ID",Fire,Wildland Urban Interface: Fire Response,1) Response: Emergency response to WUI locations throughout the valley; 2) Train: Training for WUI response; and 3) Credential: Credentialing for local and regional WUI response (National Wildfire Coordinating Group- NWCG) and/or training,4,1
196,"Boise, ID",Legal,Boise Criminal Prosecution,"Attorneys in the Criminal Section of the Boise City Attorney’s Office prosecute infractions and misdemeanors committed within the city of Boise.  Prosecutors are responsible for court appearances, motion practice, court trials, jury trials, and appeals.  Additionally, the Criminal Section has prosecutors assigned to the Ada County DUI Court and the Ada County Domestic Violence Court to handle Boise cases that are eligible for placement within these specialty courts.",4,1
203,"Boise, ID",Legal,Victim Svcs,"The Boise City Attorney’s Office has a Victim Witness Coordinator who provides crisis intervention, stabilization, and short-term counseling for victims of violent crimes.  The Victim Witness Coordinator refers victims to community resources and acts as a liaison between the victim, law enforcement, and the prosecutor.  The Victim Witness Coordinator also advocates for victims’ constitutional rights and assists victims through the court process.",4,1
345,"Boise, ID",Planning & Development,Structural Plan Review,Supports the Plan Review section with internal and outsourced structural plan reviews conducted by Idaho licensed structural engineers on the structural design and calculations of new or remodeled buildings or structures submitted for permits in accordance with the adopted building codes as established in State Statute and in local City ordinances.,4,1
346,"Boise, ID",Planning & Development,Plan Review,"Protects property rights and values, enhances important environmental goals of the City, and ensures that the general appearance of buildings and site improvements are consistent with the goals of the City.",4,1
347,"Boise, ID",Planning & Development,Building Inspections,"The Building Division, through the Building Official, Assistant Building Officials, Plans Examiners, Inspectors and Permitting Technicians provide for the administration, education and enforcement of building, energy, plumbing, mechanical, fuel gas, and electrical codes in an effort to protect the lives, health and welfare of the citizens of Boise as established in State Statute and in local City ordinances. Conduct inspections at various stages of construction on permitted projects in accordance with the approved set of plans. Write correction notices as necessary. Investigate work without permits.",4,1
349,"Boise, ID",Planning & Development,Fire (Plan Review/Inspections),"The Building Division, through the Building Official, Assistant Building Officials, Plans Examiners, Inspectors and Permitting Technicians provide for the administration, education and enforcement of fire codes in an effort to protect the lives, health and welfare of the citizens of Boise as established in State Statute and in local City ordinances. Works in cooperation with both the Building Official and the Fire Marshal to conduct submittal intakes, fire code life-safety plan reviews and inspections including for installation of fire sprinklers and alarms within buildings. Writes correction notices as necessary.",4,1
365,"Boise, ID",Planning & Development,Floodplain Administration,"The Planning Director will continue to serve as the City’s Floodplain Administrator and in coordination with Public Works will administer all aspects of the National Flood Insurance Program including review of floodplain development applications for compliance with the floodplain development regulations, issuance of elevation certifications, processing of letter of map revision, maintenance of records, response to inquiries about flood zones, dissemination of community information under the Community Rating System, annual reporting to FEMA and adoption of new maps and flood studies as necessary.",4,1
368,"Boise, ID",Police,Gang Identification & Education,Provides education about criminal gang activity and provides special enforcement services in that area.,4,1
369,"Boise, ID",Police,Neighborhood Contact (includes Refugee Liaison),Assigns officers by geographic area to meet the needs of different neighborhoods and includes the refugee liaison officer and an organized retail crimes officer.,4,1
370,"Boise, ID",Police,Airport Unit (includes Airport Canine),Provides law enforcement services to the Boise Airport pursuant to an interdepartmental service level agreement.  This program includes the specialized canine unit that provides service to the Airport.,4,1
373,"Boise, ID",Police,Micro District,"Provides services tailored to the needs of citizens and visitors in Boise’s vibrant downtown.  This program includes the patrol officers, detective and supervisors assigned to that area as well as the BPD mascot.",4,1
377,"Boise, ID",Police,Selected Traffic Enforcement Program (STEP),Provides DUI enforcement and education.,4,1
387,"Boise, ID",Police,Special Victims Unit,Specialized investigations of crimes against children and other vulnerable populations.  This program is based at FACES to collaborate with other agencies and service providers.,4,1
388,"Boise, ID",Police,General Investigations - Persons & Property,Includes detectives that investigate property crimes and most crimes against persons.,4,1
389,"Boise, ID",Police,Narcotics,"Specialized investigative program that focuses on illegal drug activity, including undercover work.",4,1
390,"Boise, ID",Police,Crime Lab,Processes crime scenes and analyzes evidence for fingerprints and forensic evidence.,4,1
392,"Boise, ID",Police,Patrol Unit,Responds to all emergency and other calls for service in the City.  This unit includes patrol officers as well as community service specialists.,4,1
393,"Boise, ID",Police,Canine Unit,Police canines and their handlers that respond to calls across the City (but not including the Boise Airport).,4,1
399,"Boise, ID",Police,SWAT,Special Weapons and Tactics team is specially trained and equipped to respond to situations involving unusual danger such as dealing with a heavily armed and dangerous suspect.,4,1
400,"Boise, ID",Police,EOD (Bomb Squad),"Responds to, investigates and renders safe explosive or dangerous advices.",4,1
401,"Boise, ID",Police,Crisis Negotiation Team,"Provides specially trained and equipped negotiators to diffuse critical incidents involving suspects who are suicidal, barricaded, hostage-taking or engaged in terrorist activities.",4,1
424,"Boise, ID",Public Works,Water Renewal Facility Maintenance & Asset Mgmt,Municipal wastewater treatment has regulatory and public health requirements. The city reclaims an average of 30 million gallons daily which is then returned to the Boise River from two water renewal facilities. Additional water treatment occurs at the Dixie Drain Phosphorus Removal facility.  The value of these  facilities total  more than 1 billion dollars. This budgetary program includes staff and other costs associated with treatment facility maintenance  plus a comprehensive utility-wide asset management program with database.,4,1
426,"Boise, ID",Public Works,Collections System Maintenance & Rehabilitation,"Ongoing repairs and maintenance to the wastewater collection system including root removal, line cleaning, odor control and rehabilitation of aging sanitary sewer collection infrastructure.",4,1
428,"Boise, ID",Public Works,Water Renewal Facility Operations,"Municipal wastewater treatment has regulatory and public health requirements. The city reclaims an average of 30 million gallons daily which is then returned to the Boise River from two water renewal facilities. Additional water treatment is provided at the Dixie Drain Phosphorus Removal facility.  This budgetary program includes staff, power, chemical, and other costs to operate these facilities.",4,1
429,"Boise, ID",Public Works,Water Quality Lab Services,"Municipal wastewater treatment has regulatory and public health requirements including extensive monitoring, record-keeping,  and  reporting to demonstrate compliance and reclaimed water quality. This budgetary program includes the laboratory which provides analytical services to support daily process optimization, compliance demonstration, watershed data collection, stormwater compliance, utility revenue recovery, biosolids application compliance, plus CIP project technology research.",4,1
430,"Boise, ID",Public Works,Used Water Collection Services,"Municipal wastewater treatment has regulatory and public health requirements. The city  operates and maintains over 930 miles of sewer pipe, 27 liftstations, odor control  and other infrastructure as an average of 30 million gallons daily of used water travels to the water renewal facilities. This budgetary program includes  all costs to successfully operate, monitor and maintain this system including 24/7 response for emergencies.",4,1
431,"Boise, ID",Public Works,Water Renewal Engineering,"Design and Engineering of Water Renewal facilities and sanitary sewer collection systems which includes new infrastructure, retrofit and rehabilitation of existing infrastructure.",4,1
164,Duluth,Construction Services,MN State Building Code Administration (Other),"Policy development, interpretation, evaluation of alternates, etc. Backflow prevention device testing program",4,1
170,Duluth,Construction Services,Building Permits,"Building, structure, & energy code permits. State project permits (building, energy and mechanical). Mechanical permits. Plumbing permits. Electrical permits",4,1
171,Duluth,Construction Services,Electrical Permits,"Building, structure, & energy code permits. State project permits (building, energy and mechanical). Mechanical permits. Plumbing permits. Electrical permits",4,1
172,Duluth,Construction Services,Mechanical Permits,"Building, structure, & energy code permits. State project permits (building, energy and mechanical). Mechanical permits. Plumbing permits. Electrical permits",4,1
173,Duluth,Construction Services,Plumbing Permits,"Building, structure, & energy code permits. State project permits (building, energy and mechanical). Mechanical permits. Plumbing permits. Electrical permits",4,1
174,Duluth,Construction Services,Building Plan Review,"Building, structure, & energy code plan review. State project plan review (building, energy and mechanical). Mechanical plan review. Plumbing plan review. Electrical plan review. UDC plan review (routine zoning review, accessory home share, floodplain, fences)",4,1
175,Duluth,Construction Services,Electrical Plan Review,"Building, structure, & energy code plan review. State project plan review (building, energy and mechanical). Mechanical plan review. Plumbing plan review. Electrical plan review. UDC plan review (routine zoning review, accessory home share, floodplain, fences)",4,1
176,Duluth,Construction Services,Mechanical Plan Review,"Building, structure, & energy code plan review. State project plan review (building, energy and mechanical). Mechanical plan review. Plumbing plan review. Electrical plan review. UDC plan review (routine zoning review, accessory home share, floodplain, fences)",4,1
177,Duluth,Construction Services,Plumbing Plan Review,"Building, structure, & energy code plan review. State project plan review (building, energy and mechanical). Mechanical plan review. Plumbing plan review. Electrical plan review. UDC plan review (routine zoning review, accessory home share, floodplain, fences)",4,1
178,Duluth,Construction Services,Building Inspections,"Building, structure, & energy code inspections. State project inspections (building, energy and mechanical) Includes floodplain building regs. Mechanical inspections. Plumbing inspections. Electrical inspections Includes floodplain building regs. Furnace replacement inspections Currently jointly with Comfort Systems. Erosion and sediment control inspections",4,1
179,Duluth,Construction Services,Electrical Inspections,"Building, structure, & energy code inspections. State project inspections (building, energy and mechanical) Includes floodplain building regs. Mechanical inspections. Plumbing inspections. Electrical inspections Includes floodplain building regs. Furnace replacement inspections Currently jointly with Comfort Systems. Erosion and sediment control inspections",4,1
180,Duluth,Construction Services,Mechanical Inspections,"Building, structure, & energy code inspections. State project inspections (building, energy and mechanical) Includes floodplain building regs. Mechanical inspections. Plumbing inspections. Electrical inspections Includes floodplain building regs. Furnace replacement inspections Currently jointly with Comfort Systems. Erosion and sediment control inspections",4,1
181,Duluth,Construction Services,Plumbing Inspections,"Building, structure, & energy code inspections. State project inspections (building, energy and mechanical) Includes floodplain building regs. Mechanical inspections. Plumbing inspections. Electrical inspections Includes floodplain building regs. Furnace replacement inspections Currently jointly with Comfort Systems. Erosion and sediment control inspections",4,1
213,Duluth,Fire,"Emergency Planning, Management, Mitigation and Administration","Emergency Management Planning, Media Relations, Operation of the EOC",4,1
218,Duluth,Fire,All Hazard Mitigation,Hazmat elements of Fire Operations/ Emergency Management/ Disaster Assessment,4,1
219,Duluth,Fire,Hazardous Materials (Hazmat) Response,In and Out of Jurisdictional Response to include reporting requirements,4,1
222,Duluth,Fire,Hazmat Materials Safety Compliance,"Osha Physicals, Tier 2 reporting, 472/1910.120 compliance",4,1
224,Duluth,Fire,Arson Investigation,"Fire Incident Inspections, Arson Investigation, Training",4,1
226,Duluth,Fire,Fire Code Enforcement,"Business/Commercial Inspections, Vacation Rental Interim Use Permit Inspections, Commercial Plan Review for Remodeling and New Construction Permits, Fire Protection Systems Compliance",4,1
228,Duluth,Fire,Rental License Program,"Inspections for Rental Property Licensing, Unlicensed Rental Investigation and Case Management",4,1
232,Duluth,Fire,Fire Hydrants,"Hydrant Inspection and Maintenance, Hydrant Shoveling",4,1
233,Duluth,Fire,Fire Safety Planning (Preplans),"Build, update, and maintain Preplan records for properties including owner and emergency contact, fire suppression systems, and other information crucial to emergency response",4,1
239,Duluth,Fire,Emergency Response � Medical/Patient care,Medical/Patient care,4,1
240,Duluth,Fire,Emergency Response � Fire Suppression (etc),"Fire Response, Technical Response",4,1
241,Duluth,Fire,Non-Emergency Response,"Sharps, Smoke detectors, Beach Flags, CO",4,1
380,Duluth,Parking,Parking Services Police Support,"In-house police officer support of parking staff, sensitive/criminal circumstances, other public serivce.",4,1
398,Duluth,Park Maintenance,Park Maintenance - Playground Maintenance,Repair/replace/remove playgrounds as needed based on annual inspections and fall zone maintenance.,4,1
400,Duluth,Park Maintenance,Park Maintenance - Snow Removal-Sidewalks,Snow removal on sidewalks based on snow removal tier system on Parks website.,4,1
405,Duluth,Park Maintenance,Storm/Emergency service,"Services as needed for storm/emergency services mgmt - flooding, wind, & wave damage.",4,1
414,Duluth,Parks,Programs-General,"Weekly programs offered at Heritage Sports Center and Duluth Heights Community Center which include free indoor skating and toddler playtime.  Handle registrations and lead two youth league sports including flag football and ultimate frisbee. Special skating events at DECC including Skating with the Bulldogs. Staff Bayfront Family Center for winter and summer recreation that includes outdoor skating rink, free loaner skates, and free access to recreational equipment.

Programs include: Hike Series, two Summer Camps for youth, Pop-Up Play in Parks, Mobile Recreation, Fishing Nights, Play Gym, Story and Play with the library, open skate, art kit rentals, and more.",4,1
417,Duluth,Parks,Maintenance-Trail,"Perform standard maintenance of trails including clearing brush, repairing tread damage, improving tread quality, fixing compromised amenities like benches or bridges, adding or fixing water diversion structures, and adding or replacing signage. Winter ski trails and Chester Ski Hill grooming. There are approximately 200 miles of trail within City limits requiring maintenance.",4,1
424,Duluth,Planning and Development,Demolition Project Management,Demolition Project Administration. Demolition Project Field Coordination. Tax forfeit programs. Zoning enforcement.,4,1
438,Duluth,Police,Community Policing,"Community oriented policing for the Duluth Police Department has several different components that build vital relationships in order to problem solve and proactively address quality of life issues in our city:  HRA Officer (Housing in Redevelopment Authority); Duluth Transit Authority Officer; Life Safety Officer (Works with the fire department on rentals, blight, fire investigation, and several other issues throughout the city); Downtown Foot Patrol /Parking Officer; two Mental Health Officers that work with two Embedded Social workers; Two Community Officers (East & West).",4,1
442,Duluth,Police,Drug Investigations,"Responsible for targeting and building effective cases against those bringing and distributing drugs into our community.  Working in conjunction with multiple state and federal partners to address the epidemic of drug abuse, drug overdoses and drug deaths.",4,1
443,Duluth,Police,Property/Financial Investigations,property and financial crimes investigation,4,1
444,Duluth,Police,Sex Crimes Investigations,"Internet Crimes Against Children, Sexual Assault Kit Initiative, sexual assaults, advocacy support, are all highly impactful crimes that stay with victims their entire lives.  To be able to address child predators more successfully will make a difference in children""s lives in our community.",4,1
445,Duluth,Police,Domestic Violence Investigations,"Domestic violence and physical child neglect/abuse, advocacy support",4,1
446,Duluth,Police,Crime Scene Investigations,"The documentation of significant crimes against persons or property crimes.  The preservation and analysis of  evidence allows us to address crimes with evidence in a timely fashion.  The average turn around for the state lab on evidence analysis is months, our in house turn around is hours.  With the ability to provide timely analysis of some types of evidence we are mandated by law to be accredited.",4,1
447,Duluth,Police,Crash Investigations,crashes and hit and run investigations,4,1
448,Duluth,Police,General Investigations,"Violent crimes, non criminal investigations all misc. investigation",4,1
450,Duluth,Police,Tactical Response Team,"The Tactical Response Team deals with exceptional situations and tasks that are beyond the scope of our officers capabilities.  The team's objective is a peaceful resolution during potentially violent situations, such as, high risk search/arrest warrants, barricaded subjects, hostage situations, mental health crisis incidents, dignitary protection, violent offender apprehension, special event security, and other specialized tasks.",4,1
452,Duluth,Police,K-9,"The K-9 program is an important tool and community resource. Our K-9 teams are responsible for tracking, building searches, open area searches, criminal apprehension, evidence searches, narcotic and explosive detection.  Our K-9 teams train to national best practice standards.",4,1
455,Duluth,Police,School Resource Office Program,"School Resource Officers are at East, Denfeld, Lincoln and Ordean,  The ability to have SROs in the middle and high schools provides a significant ability to mentor our youth, participate in restorative justice programs, build relationships with kids and their families that are struggling and attempt to make an impact earlier in their lives. SROs are the immediate eyes and action for each of those schools for when there is a police need, being 5-10 minutes out compared to on campus can make the difference when there are legitimate police needs.  School Crossing Guard is another program providing DPD with relationship building with our youth.",4,1
456,Duluth,Police,Juvenile Investigations,All investigation affecting those under the age of 18.  It is critical for our department to build relationships with our criminal justice partners and other systems that work to provide alternative solutions to many juvenile issues through a restorative justice approach.,4,1
457,Duluth,Police,"Boards, Commissions, Committees","CRB, RAC, Parking Commission, command staff board outreach",4,1
462,Duluth,Police,Directed Patrol Response & Operations,Officers are responsible for the initial response to all calls dispatched by the 911 emergency communication center.,4,1
463,Duluth,Police,Non-Directed Patrol Response & Operations,"Officers are expected to proactively police our community and identify education, prevention, deterrence and accountability opportunities:  Traffic Stops, Crash Reduction, Warrant Arrest, Subject Stops, Self-Initiated Field Activity, Actionable Intelligence Reporting, Hot Stop Policing, Policing Through Environmental Design, Business Checks, Community Engagement, ...etc.",4,1
464,Duluth,Police,Community Service Officer & Park Ranger Programs,"Our Community Service Officers & Park Rangers are truly City of Duluth ambassadors.  These non-sworn part-time employees represent and promote our city as a whole, while providing non-enforcement related services to the police department and community. We get approximately 3.7 million visitors to Duluth during our tourist season.",4,1
466,Duluth,Police,Traffic Enforcement,"Traffic Enforcement is an important police service we provide to our community.  Dedicated police resources are applied to enforcement of driving under the influence, speeding, seatbelt usage and distracted driving.  Traffic Enforcement reduces crashes, driving related deaths and improves overall driver safety.",4,1
467,Duluth,Police,Bike Patrol,Our Bike Patrol Program supplements our patrol division with added resources focused in our downtown and canal park areas during our tourist season.  This program has proven to be a valuable community resource during our spring and summer months.  Bike patrol officers can navigate and respond to calls for service much faster and efficiently than officers in vehicles.  We get approximately 3.7 million visitors to Duluth during our tourist season.,4,1
476,Duluth,Public Works and Utilities,Bridge Operations & Maintenance,"Operation of the Aerial Lift Bridge, maintenance & mandated inspections of approximately 135 other bridges city-wide.",4,1
488,Duluth,Public Works and Utilities,"Mapping, Locating and Field Surveys",Includes GIS / Right-Of-Way / Easements / Vacations,4,1
492,Duluth,Public Works and Utilities,Natural Gas System Repair & Maintenance,"Repair & Maintenance of Gas system including: installing , replacing, relocation and removal of taping gas main for extension of new services, mandated maintenance of valves controlling gas flow, painting of gas system equipment to control corrosion, and capping/recapping gas lines.",4,1
493,Duluth,Public Works and Utilities,Emergency Utility Calls,"Response to calls for the investigation of natural gas, water, sanitary, storm water emergencies as well as stand by of personnel in events outside of normal operational needs.",4,1
496,Duluth,Public Works and Utilities,Natural Gas Leak Detection and Repair,Mandatory scheduled survey of all gas system components for leaks as well as leak repairs.,4,1
498,Duluth,Public Works and Utilities,Natural Gas Main Corrosion Prevention,Corrosion monitoring and prevention on Natural Gas main lines.,4,1
505,Duluth,Public Works and Utilities,Natural Gas Public Information,Mandated Natural Gas public safety and conservation information programs.,4,1
507,Duluth,Public Works and Utilities,Natural Gas Regulators,"Installation, repair and maintenance of pressure regulators on the Natural Gas distribution system.",4,1
542,Duluth,Public Works and Utilities,Snow and Ice Control,Snow Plowing & Hauling and road sanding and ice control.,4,1
549,Duluth,Public Works and Utilities,Stormwater System Inspections,Mandated construction inspections for best practices including outfall site inspections.,4,1
565,Duluth,Public Works and Utilities,Utility Dispatching,24 hr. call center for any citizen inquiry not related to Fire or Police.,4,1
568,Duluth,Public Works and Utilities,Utility Infrastructure Improvements,Infrastructure improvements for Public Utilities.,4,1
575,Duluth,Public Works and Utilities,Wastewater Treatment,Sanitary sewer treatment and testing.,4,1
581,Duluth,Public Works and Utilities,Water Hydrant Repair and Maintenance,"Repairs, maintenance and scheduled replacement of 2,700 water hydrants.",4,1
590,Duluth,Public Works and Utilities,Water Sampling and Testing,Mandated monitoring and testing of samples from the public water supply.,4,1
653,Duluth,Parks,Programs-Contracted,"Funding identified for use by contracted program providers in the community. These include the Duluth YMCA for True North Americorps and five youth program sites that are open yearround: Neighborhood Youth Services, Valley Youth Center, Boys and Girls Club-Lincoln Park, Duluth Community School Collaborative-Grant Rec, and Gary New Duluth Rec (operated by Duluth YMCA).",4,1
663,Duluth,Fire,Snow Removal Ordinance Enforcement (Private Sidewalks),"Inspection and enforcement for snow removal ordinance, contracting for snow removal for non-compliant properties",4,1
665,Duluth,Fire,Fire Prevention Education,Outreach and education to the community on fire safety topics and focused programming for juvenile fire setters.,4,1
681,Flagstaff,01-015 General Administration City Attorney Division,Misdemeanor Prosecutions,"Prosecution of violations of city ordinances, state statutes and civil traffic matters.",4,1
684,Flagstaff,01-015 General Administration City Attorney Division,Specialty Courts,"Collaborate with Veteran's Administration, and MH Service Providers to conduct these specialty courts (Veteran’s Court, and Mental Health Court). Offer diversion agreements to eligible offenders (Domestic Violence, Drug, First-Time Offenders).",4,1
685,Flagstaff,01-015 General Administration City Attorney Division,Victim's Rights Notifications,Comply with Attorney General's Office on Victim's Rights - grant funding,4,1
687,Flagstaff,01-015 General Administration City Attorney Division,Pre-Rule 11 Diversion,"Collaborate with Jail, MH providers, Public Defender to reduce jail days and recidivism",4,1
688,Flagstaff,01-015 General Administration City Attorney Division,Coconino County Criminal Justice,Participate actively in the CJCC and various subcommittees,4,1
694,Flagstaff,01-015 General Administration City Attorney Division,Ordinance and Policy Management,Assist departments in drafting new ordinances and administrative policies as well as revising and amending existing ordinances and policies.,4,1
704,Flagstaff,01-011 General Administration City Manager Division,Indigenous Relations,"Outreach, engagement, planning, develop and implementation of strategic initiatives with the indigenous community and neighboring indigenous nations",4,1
705,Flagstaff,01-011 General Administration City Manager Division,Community Relations,"Listen to and build relationships with citizens, community groups and other stakeholders to address the needs of the community.",4,1
712,Flagstaff,01-011 General Administration City Manager Division,Goal Setting and Strategic Planning,Establishes goals and priorities for the City including the participation of internal and external stakeholders. Implements strategic plan(s) to achieve goals and priorities,4,1
717,Flagstaff,01-011 General Administration City Manager Division,"Policy Development, Review, and Enactment",Review and approve laws and ordinances,4,1
