id,org,dept,name,description,Mandate,bin
405,"Columbia, SC",Emergency Comm. Center,911- Rollover Back-Up Provider,"CRC 911 serves as back-up Public Safety Answering Point  for USC, Forest Acres and Fort Jackson",4,2
1310,Tulsa,Police,911 Technology,"Management and support of E911 technology, including planning, implementing, upgrading and supporting telecommunication technology for Enhanced 911, NextGen 911, ESNI net, text to 911, multi-media and evolving technology for 911 Telecommunicators.",4,2
1310,Tulsa Test Liz,Police,911 Technology,"Management and support of E911 technology, including planning, implementing, upgrading and supporting telecommunication technology for Enhanced 911, NextGen 911, ESNI net, text to 911, multi-media and evolving technology for 911 Telecommunicators.",4,2
2037,"St Albert, AB","Human Resources, Safety and Environment",Abilities and WCB Claims Management,Promote regular attendance and return to work opportunities for employees during temporary and permanent injuries or disabilities.,4,2
169,"Washington County, WI",County Attorney,Absent Parent Investigations/Locate,Locate absent parents; investigate address and other avenues for locate,4,2
3915,"Columbia, SC",Council Support Services - Clerk,Acceptance of Service,Accept service of law suits and subpoenas wherein the City of Columbia and/or a City employee is named as a party. Provide notification of the service and forward documentation to the Legal Department.,4,2
1449,"Lethbridge, AB",Transit,Access A Ride Maintenance,"Daily preventive/corrective maintenance work to ensure commercial vehicle inspection and operability standards are met. Tracking of fleet inventory and actual ""sunk"" costs of the Access A Ride Fleet.",4,2
210,Marathon,Social Services,Access and Initial Assessment,"7.0 FTE Social Work Staff are responsible for Access and Initial Assessment duties for Child Protective Services as mandated by Chapter 48, WI Statutes. Includes investigations, temporary physical custody (out of home care), dispositional orders, protective plans, safety plans to ensure for safety concerns for children per Department of Children and Families Standards.  Includes screening decisions on maltreatment reports, conducting investigations and court intervention.",4,2
1212,Meridian,Information Technology,Access Control / VMS,"Management and oversight of system, security, video",4,2
1020,"Washington County, WI",Sheriff,Accident Investigations,Patrol dedicated time for accident investigations.,4,2
1665,"Riverside, CA",Police,Accident Investigations and Traffic Collision Reconstruction,Investigate motor accident and reconstruct traffic collision,4,2
1428,"Salt Lake City, UT",POLICE DEPARTMENT,Accident Investigators - Central,Handles traffic accidents in Districts 3 and 4 that do not involve major accident/fatal,4,2
1454,"Salt Lake City, UT",POLICE DEPARTMENT,Accident Investigators - Liberty,"Handles traffic accidents in Districts 5, 6, and 7 that do not involve major accident/fatal",4,2
1410,"Salt Lake City, UT",POLICE DEPARTMENT,Accident Investigators - Pioneer,Handles traffic accidents in Districts 1 and 2 that do not involve major accident/fatal,4,2
404,"Washington County, WI",Highway,Account Payable Processing,"Receipt, approval, preparation of payment  (including matching and creating purchase orders), entry into job cost software, and reports of vouchers. Issue payments for refunds and reimbursements. Approval and preparation of payment for travel and other expense reimbursements, including entry into job cost software. Reconciliation of vendor statements to general ledger and general ledger accounts to job cost software.",4,2
145,"Washington County, WI",Clerk of Courts,Account Verification,"Review and approve annual accounts and reports for guardianship, conservator and custodial cases. Inform court official of any inconsistencies. Send notices of overdue accounts; schedule hearings as required; arrange for personal service.",4,2
149,Lawrence,Finance,Accounting,"Maintains tight control over resources, while also compartmentalizing activities into different funds to gain strong fiscal stewardship.",4,2
616,"Beaumont, AB",Finance,Accounting & Financial Reporting,"Manage full-cycle accounting and financial reporting processes; prepare and present quarterly and annual financial reports; perform month-end, quarter-end and year-end procedures; coordinate financial statement audit and reporting; ensure compliance with accounting standards and legislation; monitor and maintain effective internal controls.  ",4,2
1559,"Lees Summit, MO",Finance,Accounting activity,"Records all general ledger transactions in order to prepare financial statements that are in conformity with Generally Accepted Accounting Principles.  Includes, but not limited to, travel request administration, bank reconciliations, and general accounting journal entries.  Maintains records as required under State and Federal regulations and city policy.",4,2
1512,Jefferson,Health,Accounting Services,"The department accounting is a shared responsibility of the County Finance Department and the Health Department staff. The following services are included: accounts receivable, deposits, accounts payable, purchasing, annual department budget development and monitoring, contract management, grant billing and tracking, financial auditing requests and financial filing/reporting of monthly State CARS expenditure and annual WIMCR reports. Budgets for WIC , Public Health Preparedness & individual grant budgets are submitted on a timely basis. Accounts receivable services include: timely billing to Medicaid & HMOs for prenatal care & HealthCheck services with appropriate ICD10 coding. Timely billing to Medicare B for flu shots, monthly billing for fee-for-service contracts, inter-department billing.",4,2
1111,"Monroe, OH",PUBLIC WORKS,Accounting Services - General,"Process general accounts payable and accounts receivable across all divisions, except for cemetery",4,2
1687,"Addison, TX",Finance Department,Accounting/Financial Reporting,"Preparing the Annual Comprehensive Financial Report, coordinating the audit, coding transactions, preparing account reconciliations, quarterly financial reporting, and monthly financial reporting.",4,2
2611,"Addison, TX",Finance Department,Accounts Payable,"Paying invoices for all departments via check, ACH, and SUA;  posting invoices paid through direct disbursements; processing employee expense reimbursements; preparing 1099's for vendors and filing with the IRS annually.",4,2
615,"Beaumont, AB",Finance,Accounts Payable,"Provide accurate, timely processing and payment of all vendor invoices and staff expense claims; ensure proper authorization and compliance with procurement policy; manage vendor list; process queries.",4,2
620,Duluth,Purchasing,Accounts Payable,Processing and paying invoices to City vendors.,4,2
1568,"Lees Summit, MO",Finance,Accounts Payable,Payments to vendors and suppliers for all city departments.  Ensure policies and regulation adhered to regarding departmental spending.,4,2
1178,Meridian,Finance,Accounts Payable,"Process internal and external invoices for products and services via PO's, contracts and direct payments and produce corresponding check runs.",4,2
1122,Rowlett,Finance,Accounts Payable,"Audit all invoices, procurement card (P-Card) transactions, and employee travel and expense reimbursement requests for compliance to polices and documentation requirements.",4,2
1271,"Salt Lake City, UT",DEPARTMENT OF FINANCE,Accounts Payable,"This program handles purchase order and contract payment, issues checks and coordinates check record storage.  The group also supervises departmental credit card administrators, monitors the credit card system and monitors compliance with credit card policies and procedures.",4,2
2002,"St Albert, AB",Financial Services and Information Technology: Financial Services,Accounts Payable,Management of moneys owed by the City to vendors.,4,2
751,UnifiedGov,Finance Department,Accounts Payable,Processing daily account payable,4,2
5116,San Juan County,TREASURER,Accounts Payable - Tax Disbursements & Refunds,Process checks and ACH disbursement payments for property tax collections.,4,2
2908,Jefferson,Parks,Accounts Payable & Budget,"Daily/Weekly/Monthly processing of invoices and bills incurred through general parks operations and assignment to proper account and project codes.  Provide monthly budget reports to Parks Committee for review and approval.  Development of the departmental annual budget including recommendations for annual capital projects and a 5 year capital improvement plan and 5 year capital auto plan.   Provide recommendations and solutions to accomplish required projects within the budget guidelines. Work with finance to meet budget deadlines, answer questions, adjust budgetary line items, and find solutions to funding shortfalls.",4,2
856,Tulsa,Finance,Accounts Payable /P-Card,Processing and paying invoices. Manage vendor relationships. P-card program.,4,2
856,Tulsa Test Liz,Finance,Accounts Payable /P-Card,Processing and paying invoices. Manage vendor relationships. P-card program.,4,2
348,"Canton, MI",210 - Finance and Budget,Accounts Payable Processing,"Review & keypunch invoices, check printing, statement reconciliation, vendor creation, maintain reports, maintain invoice paid files, maintain commodity codes, create new files, remove old files & W-9 filing",4,2
472,"Eugene, OR",CS,Accounts Payable Processing,"Utilize corporate software to enter data, confirm accuracy, maintain internal controls while processing outstanding invoices and making timely payments, year-end reporting, coordinate with departments and customers (troubleshooting within PeopleSoft, ensuring accuracy, processing credits, ensuring supplier account balances are correct).",4,2
1474,Jefferson,Finance,Accounts Payable Processing,"Year end reporting, annual 1099 forms, weekly voucher processing including check printing and distribution, ongoing vendor ACH processing and maintenance",4,2
797,Marathon,Finance,Accounts Payable Processing,"Process all accounts payable for the County. Maintain vendors and complete year end reporting for IRS (1099), weekly invoices processing,",4,2
876,Flagstaff,02-Management Services,Accounts Payable Processing and Maintenance,"Pay outstanding invoices, issue 1099s and unclaimed property processing. Oversight and reporting of asset forfeiture and equitable sharing funds.",4,2
1000,"Riverside, CA",Finance,Accounts Payable Processing and Maintenance,Pay outstanding vendors; issue annual 1099 tax forms; audit and pay employee expense statements; track retainage payables; reconcile accounts payable balances.,4,2
727,Ferndale,Budget & Finance,Accounts Payable/ Receivable Processing and Maintenance,Pay and issue outstanding invoices. Administer city owned credit cards. Register vendors working with or for city.,4,2
815,Marathon,County Treasurer,Accounts Payable/Electronic Payment Processing,"Printing the accounts payable checks and preparing them for mailing
Setting up and sending electronic (ACH & Wires) payments and withdrawals for County purchases, bonds, property tax payments, child support payments, etc.",4,2
1235,"Monroe, OH",FINANCE,Accounts Receivable,"Generate invoices for service provided by the City and process all monies received timely and accurately.  Payments include daily deposits, online payments and cash receipts.",4,2
2003,"St Albert, AB",Financial Services and Information Technology: Financial Services,Accounts Receivable,"Management of the money owed to the City related to vendors, employees, ambulance and general receivables.  Including non-tax revenue collection and payment.",4,2
864,"Strathcona County, AB",Financial and Strategic Management,Accounts Receivable,"Provision of accurate, timely processing of customer invoicing including tracking and collecting on outstanding balances.",4,2
769,UnifiedGov,Finance Department,Accounts Receivable,Processing monthly accounts receivable,4,2
546,"Columbia, SC",Payment Center,Accounts Receivable - Commercial Stormwater Billing,The Payment Center receive payments for Commercial Stormwater Billing,4,2
547,"Columbia, SC",Payment Center,Accounts Receivable - Residential Stormwater Billing,The Payment Center receive payments for Residential Stormwater Billing,4,2
102,Roswell,40 - Finance,Accounts Receivable Collection,Review delinquent sanitation accounts; coordinate payment plan arrangements and the placement of liens.,4,2
1198,"Riverside, CA",RPU - Electric,"Accumulation and Reporting of Local, State and Federal Regulatory Compliance Data associated with Utility Operations","Reporting of all utility operational data to multiple Local, State and Federal regulatory agencies.  Examples of such agencies include the South Coast Air Quality Management District (SCAQMD), Environmental Protection Agency (EPA), California Air Resources Board (CARB), California Energy Commission (CEC), the US Department of Energy, CAISO, NERC/WECC, OSHA, and City of Riverside and City of Corona Fire Departments.",4,2
347,Duluth,Library,Acquisitions,"Ordering, receiving, paying for library materials",4,2
1436,"Pittsburgh, PA",DOMI,Active Transportation Planning,Planning services directed towards active transportation planning,4,2
1001,"Riverside, CA",Finance,"Actuarial Reports, Entries, and Reporting","Compile data and coordinate external preparation of actuarial reports for Other Post Employment Benefits (OPEB), net pension liability, and self-insurance funds. Prepare journal entries and/or staff reports.",4,2
1267,Tulsa,Police,Ad hoc reports,Specialized data requests from inside and outside of the department,4,2
1267,Tulsa Test Liz,Police,Ad hoc reports,Specialized data requests from inside and outside of the department,4,2
1578,Jefferson,Human Resources,ADA Compliance,Ensuring the system and communication is available and provided to our supervisors to ensure compliance with ADA. Meetings with staff related to ADA issues/items to ensure compliance,4,2
205,KansasCity,Parks and Recreation,ADA Compliance,Ensuring that ADA requirements are met,4,2
540,Lawrence,City Wide,ADA Compliance,"Evaluate and develop transition plans for facilities, programs, services, and right of way; training, education, and outreach.",4,2
1284,"Monroe, OH",ENGINEERING,ADA Compliance, Assist with issues for compliance with state and federal laws and regulations and City personnel policies.,4,2
526,"Washington County, WI",Human Resources,ADA- Compliance,Ensuring the system and communication is available and provided to our supervisors to ensure compliance with ADA. Meetings with staff related to ADA issues/items to ensure compliance,4,2
665,"Branson, MO",Engineering,ADA Compliance Program,Ensure pedestrian walkways located within the city's public right-of-way meet the Americans with Disabilities Act (ADA) required to make services and programs in City facilities and public right-of-way accessible to people with disabilities,4,2
558,UnifiedGov,Transit,ADA Paratransit,"Federally-mandated complementary paratransit service for ADA certified customers. This service, formally known as Dial-A-Ride in Wyandotte County, is most frequently operated as a curb-to-curb service, meaning that passengers will be picked up or dropped off in front of their requested pickup or drop-off point. This service is operated during the same time as UG Transit Fixed Route service. We also contract with the Kansas City Area Transportation Authority (KCATA) to provide extended evening, weekend and holiday service.",4,2
1103,East Lansing,"Planning, Bldg and Dev",ADA Transition Plan and enforcement,Oversee Transition Plan and inspect city facilities for Americans with Disabilities (ADA) compliance,4,2
2316,"Addison, TX",Special Events,Addison After Dark,"Planning and execution of the Addison After Dark event series, including research, development, contracting and oversight of contractors, vendors, talent and entertainment, activities, staffing, volunteers and city services.",4,2
2318,"Addison, TX",Marketing,Addison Conference and Theatre Centre Marketing,"We assist the Addison Conference and Theatre Centre with promoting their conference space and the theatre.  Since the Conference Centre is currently closed, efforts are focused on promoting shows at the theatre centre.",4,2
1834,"Addison, TX",Special Events,Addison Kaboom Town,"Planning and execution of Addison Kaboom Town, including research, development, contracting and oversight of contractors, vendors, talent and entertainment, activities, staffing, volunteers and city services.",4,2
1835,"Addison, TX",Special Events,Addison Oktoberfest,"Planning and execution of Addison Oktoberfest, including research, development, contracting and oversight of contractors, vendors, talent and entertainment, activities, staffing, volunteers and city services.",4,2
4602,San Juan County,COMMUNITY DEVELOPMENT,Address Coordination with the State,Coordinates date uploads and report distribution with GIS providers for 9-1-1 and the Communications Authority; maintains the Master Street Address Guide (MSAG) and database.,4,2
1874,UnifiedGov,Knowledge Department,Address Management,Maintenance and up keep of address dataset.  Dataset is critical to public safety and divisions across the UG.,4,2
4486,San Juan County,ALTERNATIVE SENTENCING,ADE Database Management,Tracks offender progress and enters into ADE database,4,2
4059,"Columbia, SC",1011505,Adjudicate,"Adjudicates  criminal,  traffic, CDV, and Quality of Life cases as well as conduct bench and jury trials.",4,2
1600,"Lees Summit, MO",Municipal Court,Adjudication of Citations,"Court proceedings, court trials and judicial case management performed by Municipal Judges (elected).",4,2
593,"Branson, MO",Police,Admin & Project Management,"Grant management, contracts etc.",4,2
2193,Littleton,Communications & Marketing,Admin./Finance,"Budget, Pcard reconciliation and approval, purchasing, contracts, RFPs, bids and PBB.",4,2
171,"Washington County, WI",County Attorney,Administative Enforcement-Deliquent Child Support,"Tax Intercept: Required by federal and state regulations - intercept federal and state tax refunds 45CFR303.72, 45CFR303.102, 49.855; Account Seizure: Seizure of accounts at financial institutions (DCF 152); License Suspension and Denial -Drivers, Professional and Recreational (49.857, DCF 152); Passport Denial: Deficit Reduction Act (DRA) requirement for non-payment of child support; Arrears Payment: administrative increase in income withholding (767.75(1f); Liens: personal and real property through the lien docket (49.854, DCF 152)",4,2
1,"Columbia, SC",City Attorney's Office,Administration,City Attorney supervises in-house attorneys and staff.  Monitors and coordinates work of outside counsel.,4,2
4067,"Columbia, SC",1011502,Administration,"Administers the daily activities of the Municipal Court, ensuring compliance with all applicable policies, procedures, laws and regulations.",4,2
1842,Jefferson,Register of Deeds,"Administration - daily, monthly and quarterly reports","Prepare monthly Land Records, DOA, accounting reports, send monthly Laredo invoices, monitor escrow accounts, prepare monthly department reports.",4,2
2554,"Addison, TX",City Secretary,Administration and Records Management,"A statutory position required by State Law and the City Charter, serves as Records Management Officer for the City and is responsible for the management and preservation of the City's records.",4,2
1215,"Columbia, SC",Metro WWTP,Administration Management,Coordinate and direct plant administration activities.,4,2
506,"Columbia, SC",Real Estate,Administrative,Processing legal documents for recording; data entry and management of database of legal documents; management of research database; fiscal management; budget management; and general office duties.,4,2
514,"Columbia, SC",Real Estate,Administrative,Processing legal documents for recording; data entry and management of database of legal documents; management of research database; fiscal management; budget management; and general office duties.,4,2
410,"Columbia, SC",Emergency Operations,ADMINISTRATIVE - Emergency Management Administration,"Ensure compliance with all federal, state, and local laws and ordinances. Assist with the budget, and control expenditures and provide input on revenue sources. Advise City manager/Supervisor on matters relating to department operations and city-wide operations. Research the type of equipment to purchase or programs to support, prepare bid specifications for equipment, projects and supplies; determine cost alternatives with pros and cons, and provides recommendations. Prepare or review plans and specifications for supplies, services, and contracts. Define and monitor performance, productivity, and compliance of subordinates with departmental missions, goals, objectives, policies, and procedures to ensure all work meets the required expectations. Develop and administer department policies and procedures.  Ability to attend training, exercises and conferences to further enhance the department growth in education. Successfully complete all National Incident Management System training requirements for the emergency management function. 40 hours of training yearly related to Emergency Management for certification Develop sort-term and long-term goals for the department. Tracking of employees and business partners who take work safety training. Supervise direct reports through coaching, interviewing, hiring, and training employees; planning, assigning, and directing work; appraising performance; rewarding and disciplining employees; addressing complaints and resolving problems.",4,2
411,"Columbia, SC",Emergency Operations,ADMINISTRATIVE - Emergency Management Administration,"All duties associated with administration and operation of the department. Duties include: budgeting, various planning meetings, staff meetings, reporting and program compliance, federal and state grant administration/program compliance, etc.",4,2
560,"Eugene, OR",CS,Administrative and Judicial Legal Proceedings and Appeals,"Represent the City in administrative, judicial, and appellate   proceedings, including ballot title challenges, public record appeals, Land Use Board of Appeals matters, Oregon Bureau of Labor and  Industries matters, and state and federal appellate court matters. Representation includes performing legal research; preparing hearing memorandums and appeal briefs; conducting oral argument; and supervising outside legal counsel when representation is not provided in-house ",4,2
2695,Jefferson,Planning and Zoning,Administrative Duties,"Perform administrative duties related to day to day activities and functions of the department. Manage personnel, budget, etc.",4,2
814,Tulsa,Working in Neighborhoods,Administrative Hearings Support for Nusisance Violations,"Provide support for administrtive hearings including scheduling, notification and preparation of case documentation",4,2
814,Tulsa Test Liz,Working in Neighborhoods,Administrative Hearings Support for Nusisance Violations,"Provide support for administrtive hearings including scheduling, notification and preparation of case documentation",4,2
1282,Tulsa,Police,Administrative Investigations,"Receive, process and investigate citizen and administrative complaints of officer misconduct",4,2
1282,Tulsa Test Liz,Police,Administrative Investigations,"Receive, process and investigate citizen and administrative complaints of officer misconduct",4,2
568,"Branson, MO",Planning & Development,Administrative Review Requests,"applicant request to the Board of Adjustment (takes in applications, meets with applicants, compiles information for staff report (graphics, maps, research, etc.), makes presentation to Board of Adjustment, completes findings of fact)",4,2
1383,"Riverside, CA",Community Development,Administrative Reviews,Process whereby the Community Economic Development Director or their designee reviews applications submitted to the City.,4,2
2697,Jefferson,Planning and Zoning,Administrative Support,Perform administrative support and budget support such as pay and enter bills and payment statements,4,2
366,Marathon,Sheriff's Office,Administrative Support for Sheriff's Office Operations,"This program is large and involves a number of staff who ensure all records of the MNSO are maintained and the general business of the Sheriff's Office meets the expectations of both internal and external customers.  Duties include the management of finances, budget preparation, processing of open records requests and the retention and archiving of said records.  This program is also where the public reports in person to fill requests and to meet with members of this office.",4,2
956,"Strathcona County, AB",Corporate Services,Administrative Tribunals,"Coordinates and supports appeal hearings to quasi-judicial boards (Subdivision and Development Appeal Board, Assessment Review Board, Bylaw Enforcement Order Review Committee, General Appeals and Review Committee) in accordance with requirements set out in the Municipal Government Act and principles of natural justice.",4,2
1086,"Columbia, SC",Animal Services,Adopt animals to the public,Fully vet homeless animals to be placed in adoption program so they can receive new or first time homes.,4,2
1610,Jefferson,Human Services,ADRC,"Provide accurate, unbiased information on all aspects of life related to aging or living with a disability; and serves as the access point for publicly-funded long term care.",4,2
95,"Washington County, WI",Aging & Disability Resource Center,ADRC  Review and Documentation Reporting,Review and report ADRC activities yearly to the State to obtain state ADRC contract,4,2
98,"Washington County, WI",Aging & Disability Resource Center,ADRC Community Education and Outreach,"Public education to make ADRC services known to members of its client populations, isolated persons, community agencies and service providers",4,2
99,"Washington County, WI",Aging & Disability Resource Center,"ADRC Marketing, Advertising and Promotion","Newsletters, Brochures, Advertising and promotional items provided to all client populations and the general public.",4,2
642,Duluth,Workforce Development,Adult,"The Workforce Innovation and Opportunity Act (WIOA) Adult Program provides employment and training services to eligible adults 18 and over who are looking to gain skills and employment.  This includes those who are looking to improve or update work skills, start a new career, or who recently graduated from high-school and need training to help them reach their employment goals.  All services are free and tailored to fit individual needs.",4,2
111,"Washington County, WI",Aging & Disability Resource Center,Adult Day Center Services,"Through Contract provide Services at a State certified Adult Day Center  which offers, bathing, meals, supervision and activities included in their daily rate for persons who cannot stay at home alone",4,2
1968,Jefferson,Corporation Counsel,Adult Mental Health Commitments,"Prosecute cases on behalf of the public to involuntarily commit adults and juveniles who are mentally ill, dangerous and treatable",4,2
1613,Jefferson,Human Services,Adult Protective Services (APS) & Elder Abuse,"Ensure vulnerable adults, aged 18+ are aware of and have access to Adult Protective Services 24/7",4,2
1386,"Riverside, CA",Community Development,Advance Planning,"Oversees a broad range of plans, updates the land use tools needed to implement those plans and coordinate outside agency proposals potential impacts to the City. Also completes annual reporting per State requirements.",4,2
731,UnifiedGov,Election,Advance/early voting,"By mail and in-person voting, permanent advance voters, as well as voting by federal, military and overseas civilian voters (UOCAVA). UOCAVA voters apply annually to receive a ballot 45 days prior to every election. Advance voters, who apply to vote by mail for each election, receive a voting ballot on or after the 20th day preceding every election. Permanent advance voters are enrolled in a program, because of a permanent illness or physical disability, to automatically receive a ballot for every election. Once enrolled, a permanent advance voter does not need to re-apply for a by-mail voting ballot for all future elections or until the voter dies or asks to be removed from the program. A permanent advance voter who does not vote in four consecutive general elections may need to re-enroll to continue automatically receiving a ballot.",4,2
1413,"Lees Summit, MO",Law Department,Advice to Departments and Administration,Advice on all aspects of City operations to every department including necessary research.,4,2
868,"Strathcona County, AB",Corporate Services,"Aerial, Ladder and Fire Pump Testing","Legislated Aerial, Fire Ladder and pump testing and inspections, as per National Fire Prevention Association (NFPA).",4,2
4079,"Columbia, SC",1011503,Affidavits,"Review affidavits submitted by police officers and individuals to determine probable cause for the issuance of arrest warrants, search warrants and courtesy summons documents.",4,2
451,"Eugene, OR",PDD,Affordable Housing - Unit Creation & Rehabilitation,"Staff administer significant Federal and Local program funds used to increase the supply of Affordable Housing in Eugene, and to help maintain and rehabilitate existing Affordable Housing.  Fundamental to supporting the Housing Implementation Pipeline (HIP), funding includes Community Development Block Grant, the HUD HOME programs, the local Affordable Housing Trust Fund, and other local resources.  ",4,2
449,"Green Bay, WI",25 -  COMMUNITY AND ECONOMIC DEVELOP,Affordable Housing Assistance,Technical and financial resources for developers seeking to improve and increase the amount of affordable housing. ,4,2
915,"Riverside, CA",City Manager,Affordable Housing Development,"Creation of affordable housing units throughout the City for low income individuals, families and seniors which also result in employment opportunities.",4,2
963,Ferndale,City Manager,Agenda and Meeting Administration,"The City Manager's office coordinates the agenda process with the City Clerk. The process includes administering and configuring the legislative calendar, (organizing and prioritizing agenda items); spot checking agenda items for story telling and political readiness, and coordinating updates on priority initiatives with City Council members.",4,2
3905,"Columbia, SC",Council Support Services - Clerk,Agenda Management,Manage the agenda creation and distribution process to ensure that items are properly submitted to City Council and Administration for review and approval,4,2
701,Ferndale,City Clerk,Agenda Management,Manage the agenda creation and distribution process to ensure that items are properly submitted to the Governing Body for review and approval,4,2
1416,Meridian,City Clerk,Agenda Posting,Post agendas for all City Council and Commission meetings. Posted to the website and to the public boards. Email out agendas to subcriber lists.,4,2
1417,Meridian,City Clerk,Agenda Preparation,Revision and review of all agenda items to ensure they are received on time and are correct. Process through proper approval process. Follow-up and communication with departments to ensure items are received on time for processing. Prepare documents and copies for public meetings.,4,2
99,"Branson, MO",City Clerk,Agenda Processing (Post-Meeting),"Process maintain and track all documents associated with Board meetings through PrimeGov. Provide archives with information for street vacations and easement. Assign Ordinance and Resolution Numbers to Ordinances and Resolutions and print on acid free paper. Do Code book updates and send ordinances to NOW website. Processes and submit annexations to county and 911. Keeping track of annual items and preliminary agendas for upcoming meetings. Record Board approved documents with the Taney County Recorder''''s Office. Keep a log of all documents recorded. ''''Provide Contract Management with any ordinances pertaining to compliance documents.Governed by State Statute, Secretary of State, Robert''''s Rules of Order, Code and City policy/procedure.",4,2
100,"Branson, MO",City Clerk,Agenda Processing (Pre-Meeting),"Use of PrimeGov for revision and review of all agenda items to ensure they are received on time and are correct to be sent to the Board of Aldermen and public. Process through proper workflow approval.  Follow-up and communication with departments to ensure items are received on time for processing. Provide support for departments in the processing of all Board and Committee agenda items through PrimeGov.  Governed by State Statute, Secretary of State, Robert''''s Rules of Order, Code and City policy/procedure.",4,2
1049,"Lethbridge, AB",Regulatory Services,Aggressive Dog Committee Hearings,Organizing and conducting quasi-judicial tribunals for aggressive dog appeals.,4,2
94,"Washington County, WI",Aging & Disability Resource Center,Aging Plan Self-Assessment,"Review goals, activities, and objectives of the Aging services yearly and report to the Greater Wisconsin Agency on Aging Resources.",4,2
504,"Columbia, SC",Real Estate,Agreements,"Prepare and process agreements for capital improvements projects including railroad agreements, encroachment agreements, rights-of-entry, permissions, easement agreements, hold-harmless agreements, and easement releases.       Prepare and process agreements, contracts for purchase, contracts for sale, lease agreements, mortgage releases, affidavits and related other real estate agreements for real property transactions.",4,2
512,"Columbia, SC",Real Estate,Agreements,"Prepare and process agreements for capital improvements projects including railroad agreements, encroachment agreements, rights-of-entry, permissions, easement agreements, hold-harmless agreements, and easement releases.       Prepare and process agreements, contracts for purchase, contracts for sale, lease agreements, mortgage releases, affidavits and related other real estate agreements for real property transactions.",4,2
351,"Green Bay, WI",10 -  ADMINISTRATIVE SERVICES,Agricultural Land Review,DOR requirement to yearly review all agriculture lands within the municipality to ensure agricultural land classification still applies or if the property USE changed the taxability.,4,2
